mes;combustivel;posto;bairro;preco_medio;qtd_amostras
2026-03;Gasolina Aditivada;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.69;3
2026-04;Gasolina Aditivada;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.763;3
2026-05;Gasolina Aditivada;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.63;4
2026-06;Gasolina Aditivada;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.784;5
2026-07;Gasolina Aditivada;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.64;3
2026-08;Gasolina Aditivada;Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;6.44;4
2026-01;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.49;4
2026-02;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.423;3
2026-03;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.54;2
2026-04;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.69;3
2026-05;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.69;4
2026-06;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.74;4
2026-07;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.765;4
2026-08;Gasolina Aditivada;Posto Perim Ltda;Itaparica;6.59;3
